사례ID,대상,포지션,경력 연차,유입 채널,서류 판정,판단 이유 한 줄,이후 단계 결과
CASE-01,후보001,B2B 영업 매니저 (3년↑),미상,원픽-잡코리아,HR 불합격 — 허수 지원,이력·지원 직무가 공고 요건과 무관한 무차별 지원으로 검토 실익 없음,전형 종료
CASE-02,후보102,B2B 영업 매니저 (5년↑),미상,링크드인,HR 불합격 — 허수 지원,"해외 거주·국내 근무 불가에 직무 무관, 동일인이 간편지원으로 반복 지원(원장에 2건)",전형 종료
CASE-03,후보002,B2B 영업 매니저 (5년↑),미상,잡코리아,HR 불합격 — 경력/역량 부족,유형재·B2C 중심 경력으로 무형 솔루션 B2B 영업 5년 요건 미달,전형 종료
CASE-04,후보134,B2B 영업 매니저 (5년↑),미상,링크드인,HR 불합격 — 경력/역량 부족,연차는 충족하나 콜드 아웃바운드·신규 시장 개척 경험이 서류에서 확인되지 않음,전형 종료
CASE-05,후보011,B2B 영업 매니저 (3년↑),미상,사람인,HR 불합격 — 회사/지원자 FIT,대기업 관리형·정착된 프로세스 환경 위주 경력 — 초기 조직 0→1 환경과 상호 부적합 판단,전형 종료
CASE-06,후보005,B2B 영업 매니저 (5년↑),미상,그룹바이,HR 불합격 — 경력/역량 부족 + FIT (복합),요건 미달에 더해 희망 직무 방향이 관리직 중심으로 실무형 포지션과 어긋남,전형 종료
CASE-07,후보008,B2B 영업 매니저 (3년↑),미상,링크드인,HR 통과 → HM 서류 불합격,영업 역량은 인정되나 HR·교육 도메인 경험 부재 — 온보딩 비용이 감당되지 않는다는 판단 (HM 서류 탈락 30건의 최다 사유),전형 종료 (인재풀 등록)
CASE-08,후보007,B2B 영업 매니저 (3년↑),3년+,링크드인,HM 서류 합격 (대면 면접),서류상 딜 성과는 우수했으나 1차 면접에서 콜드 딜의 본인 기여 범위가 검증되지 않음,1차 면접 불합격 → 인재풀 등록
CASE-09,후보065,B2B 영업 매니저 (3년↑),3년+,잡코리아,HM 서류 합격 (비대면 면접),서류 통과 후 후보 측 사정으로 면접 거절 — 재직 중 후보의 전형 리드타임 이탈 사례,1차 면접 거절 (전형 종료)
CASE-10,후보104,B2B 영업 매니저 (5년↑),5년+,원티드,HM 서류 합격 (비대면 면접),임원 대상 설득 경험이 세미나·행사 운영과 구분되지 않아 1차 면접 검증 미통과,1차 면접 불합격
CASE-11,후보032,B2B 영업 매니저 (5년↑),5년+,링크드인,HM 서류 합격 (비대면 면접),1차는 통과했으나 2차에서 AI 활용 깊이 검증 시 기본 답변 이후 심화 질문에 응답하지 못함,1차 합격 → 2차 면접 불합격
CASE-12,후보077,B2B 영업 매니저 (3년↑),3년+,원티드,HM 서류 합격 (비대면 면접),1차 합격 후 2차 일정 단계에서 후보 사유로 면접 거절 (타사 전형 병행 추정),1차 합격 → 2차 면접 거절
CASE-13,후보078,B2B 영업 매니저 (3년↑),5년+,그룹바이 (외부 추천),HM 서류 합격 (외부추천-채용플랫폼),전 단계 통과 후 오퍼 단계에서 사퇴 — 처우 범위 사전 안내 부재가 병목으로 분석됨,2차 합격 → 오퍼 사퇴 (미채용)
CASE-14,후보129,B2B 영업 매니저 (5년↑),5년+,원티드,HM 서류 합격 (비대면 면접),CRM 도입·제도화 이력이 1·2차 모두 강점 평가였으나 처우 협의 단계에서 사퇴,2차 합격 → 처우 협의 사퇴 (미채용)
CASE-15,후보068,B2B 영업 매니저 (5년↑),5년+,그룹바이,HM 서류 합격 (비대면 면접),도메인 인접 경험과 자기주도성이 전 단계에서 일관 검증됨 — AI 활용 깊이는 우대 요건으로 완화 수용,최종 채용 (2026-07-03 확정)
